               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047212,            0.047063,            0.011746,             0.88519,             0.61964,              0.6824,             0.45811,            0.028528,             0.03635,           0.0081714,           0.0033276,           0.0033276,            0.070052
                   1,            0.036021,             0.04359,           0.0068743,             0.92296,             0.66504,             0.77414,              0.5887,            0.023955,            0.032365,           0.0051873,           0.0066573,           0.0066573,            0.040048
                   2,            0.032564,            0.041363,           0.0059148,             0.78791,             0.81516,             0.86406,             0.66792,            0.021695,            0.030852,            0.004603,           0.0099726,           0.0099726,             0.01003
                   3,            0.028713,            0.039935,           0.0051761,             0.94904,             0.81435,             0.90547,             0.71822,            0.019676,            0.029327,           0.0037576,           0.0099513,           0.0099513,           0.0099513
                   4,            0.026543,            0.038581,           0.0045647,              0.9661,             0.86689,             0.93057,             0.73148,             0.01913,            0.028931,           0.0030038,           0.0099513,           0.0099513,           0.0099513
                   5,            0.025424,            0.037453,           0.0042177,             0.92297,             0.83642,             0.92223,             0.75833,            0.018337,            0.027771,           0.0028046,           0.0099513,           0.0099513,           0.0099513
                   6,            0.024428,            0.036669,           0.0037764,             0.90078,             0.89935,             0.94691,             0.76734,            0.018039,            0.027341,           0.0026669,           0.0099513,           0.0099513,           0.0099513
                   7,            0.023875,            0.035763,           0.0035534,             0.96554,             0.91848,             0.96165,             0.78487,             0.01756,            0.027163,           0.0023304,           0.0099513,           0.0099513,           0.0099513
                   8,            0.023381,            0.035626,           0.0033298,             0.94511,             0.92626,             0.97261,               0.792,            0.017917,             0.02687,           0.0026278,           0.0099513,           0.0099513,           0.0099513
                   9,            0.022945,             0.03505,           0.0031897,             0.92621,             0.93604,             0.97518,              0.8011,            0.017338,             0.02645,           0.0018192,           0.0099513,           0.0099513,           0.0099513
                  10,            0.022639,            0.034766,           0.0029715,             0.90674,             0.94485,             0.97903,             0.81049,            0.016924,            0.026245,           0.0015688,           0.0099513,           0.0099513,           0.0099513
                  11,            0.022391,            0.034504,           0.0029966,             0.97087,             0.92443,             0.96646,             0.80376,            0.016805,            0.025828,           0.0016564,           0.0099513,           0.0099513,           0.0099513
                  12,            0.022021,            0.034191,           0.0028312,             0.97364,             0.90131,             0.95798,             0.80004,            0.016658,            0.025674,            0.001486,           0.0099513,           0.0099513,           0.0099513
                  13,             0.02183,            0.033937,           0.0026959,             0.95163,             0.93319,             0.96792,             0.82176,            0.016553,             0.02567,           0.0014646,           0.0099513,           0.0099513,           0.0099513
                  14,            0.021583,            0.033577,           0.0026791,             0.96355,             0.93145,             0.96908,             0.79803,            0.016342,            0.025043,           0.0014575,           0.0099513,           0.0099513,           0.0099513
                  15,            0.021426,            0.033336,           0.0025378,             0.94758,             0.93863,             0.98334,             0.82658,            0.016231,            0.025257,           0.0011436,           0.0099513,           0.0099513,           0.0099513
                  16,            0.021105,            0.033404,           0.0024702,             0.93415,             0.97168,             0.98316,             0.82318,            0.015997,             0.02481,           0.0012191,           0.0099513,           0.0099513,           0.0099513
                  17,            0.021105,            0.033018,           0.0024493,             0.96049,             0.94632,             0.97491,             0.83309,            0.015864,            0.024728,           0.0011592,           0.0099513,           0.0099513,           0.0099513
                  18,            0.020788,            0.032945,           0.0023969,             0.96424,             0.90214,             0.96455,             0.82224,            0.015694,            0.024567,           0.0012085,           0.0099513,           0.0099513,           0.0099513
                  19,            0.020606,            0.032788,           0.0022957,              0.9723,             0.93635,             0.98455,              0.8441,            0.015651,             0.02434,           0.0010631,           0.0099513,           0.0099513,           0.0099513
                  20,            0.020517,            0.032509,           0.0022814,             0.96906,             0.94881,             0.98638,             0.84328,             0.01554,            0.024265,          0.00099764,           0.0099513,           0.0099513,           0.0099513
                  21,             0.02026,             0.03205,           0.0021704,             0.97724,             0.91045,             0.98005,             0.83852,            0.015393,            0.024007,           0.0012147,           0.0099513,           0.0099513,           0.0099513
                  22,            0.020085,            0.031982,            0.002098,             0.97361,             0.91302,             0.96691,             0.82904,            0.015272,            0.024167,           0.0011177,           0.0099513,           0.0099513,           0.0099513
                  23,            0.020141,            0.032279,           0.0021313,              0.9614,             0.94809,             0.98814,             0.85504,            0.015243,            0.024037,          0.00099508,           0.0099513,           0.0099513,           0.0099513
                  24,            0.019982,            0.031611,           0.0020571,             0.96632,             0.95612,             0.97286,             0.83897,            0.015241,            0.023727,          0.00087992,           0.0099513,           0.0099513,           0.0099513
                  25,            0.019811,            0.031632,           0.0019725,             0.96231,             0.95476,             0.98213,             0.84142,            0.015252,            0.023932,          0.00097681,           0.0099513,           0.0099513,           0.0099513
                  26,            0.019693,            0.031632,           0.0019717,             0.96694,             0.97076,             0.99006,              0.8448,            0.015081,            0.023468,          0.00084041,           0.0099513,           0.0099513,           0.0099513
                  27,            0.019492,              0.0312,            0.001881,             0.96802,             0.95542,             0.98649,             0.84857,            0.015047,              0.0235,          0.00087485,           0.0099513,           0.0099513,           0.0099513
